token,token_tag
دستور,N
برای,F
لغو,N
حمله‌ی,N
فردا,N
صبح,F
,
پس,N
حالا,N
همه,N
چی,C
به,N
تو,N
محول,N
شده؟,N
,
درست,F
میگم,C
ستوان؟,N
بله,N
قربان,N
همینطوره,C
,
و,N
گردان,N
دوم,N
دوون,N
دارن,C
به,N
سمت,N
این,N
نقطه,N
پیشروی,N
میکنن,C
,
دوست,F
نداشت,F
همینطور,N
بندازش,C
درون,N
کوله,N
پشتیش,N
پس,N
,
روی,N
لیوان,N
شراب,N
لکه,N
رژ,N
لب,N
بود,N
,
به,N
خاطر,N
همین,N
بهمون,C
نارنجک,N
داد؟,N
,
می‌روم,F
به,N
خانه,F
,
گروهان,N
بی,N
خبردار,N
حالا,N
گوش,N
کنید,F
خوب,N
هم,N
گوش,N
کنید,F
,
بهتر,N
بود,N
فقط,N
از,N
یک,F
هتل,N
اجاره,N
می‌کردیم,N
,
می‌توانم,F
آن,F
سؤال,N
تابلو,N
را,F
بپرسم؟,N
,
خاک,N
دشمن,N
نمی‌دانیم,F
چه,F
پیش,N
را,F
داریم,N
,
حالا,N
می‌خواهم,F
فوری,N
آن,F
جا,N
باشیم,N
روشنه؟,C
روشنه,C
,
خلاصه,N
دوست,F
دخترش,N
برای,F
آن,F
یک,F
روغن,N
مو,N
می‌فرستد,F
,
نه,N
کمی,N
برای,F
آن,F
آب,N
بیاور,F
آب,N
می‌خواهد,F
,
گفت,F
باید,N
چهره,N
مادر,N
را,F
می‌دیدی,N
,
به,N
درد,N
می‌خورد,F
چون,N
اگر,F
هوا,N
تاریک,N
باشد,F
هم,N
می‌توانید,F
درون,N
مسیر,N
بوی,N
بدشون,C
حرکت,N
کنید,F
,
امکان,N
نداره,C
از,N
این,N
طرف,N
موفق,N
بشی,C
پسر,N
عقلت,N
رو,C
از,N
دست,F
دادی؟,N
,
کسی,N
جلوت,C
را,F
نگرفته,N
اگر,F
می‌خواهی,F
می‌توانی,F
برگردی,N
بروی,F
خانه,F
,
برای,F
خودت,N
بیا,N
همه,N
رو,C
بردار,N
,
فکر,F
میکنی,N
چی,N
تو,C
کیسه,N
هاست؟,C
,
آره,C
ما,N
دی,N
کمپانی,N
هستیم,F
شب,N
را,F
گشت,N
زدیم,N
,
نه,N
سنگرهای,F
می‌دانی,F
چند,F
هفته,N
پیش,N
بمباران,F
شدن,C
,
نگاه,N
تو,N
برو,N
سرگرمشون,C
کن,N
,
متوقف,N
شون,C
کنید,F
بله,N
قربان,N
,
کوتبرتز,N
کوئین,N
آنز,N
مونه,N
مورنسیز,N
شیرین,N
ترش,N
,
خفه,N
شو,N
ما,N
بر,F
سر,N
سانت,N
به,N
سانت,N
این,N
مکان,N
جنگیدیم,N
و,N
جان,F
دادیم,N
,
فکر,F
میکنید,F
بتونید,C
به,N
موقع,N
به,N
اونجا,C
برسید؟,F
,
ببخشید,N
که,N
گند,N
زدم,N
به,N
برنامه,N
شلوغت,N
بلیک,N
,
سلام,N
امی,N
از,N
خانه,F
تعطیلاتی؟,C
,
اگر,F
اینکار,N
را,F
نکنید,F
همه,N
آنها,F
قتل‌عام,N
می‌شوند,F
,
